City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kavaratti,IN,80.58,overcast clouds,10.5669,72.642,Green leaf
4,Maceio,BR,75.85,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
5,Hami,CN,80.35,overcast clouds,42.8,93.45,Laoyutang Resort
21,Nalut,LY,81.01,clear sky,30.3333,10.85,
26,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
34,Victoria,HK,89.19,overcast clouds,22.2855,114.1577,Mini Central
35,Tahoua,NE,77.85,light rain,14.8888,5.2692,Bungalows Guesthouse
38,Hasaki,JP,86.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
41,Kapaa,US,85.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Kavieng,PG,84.47,light rain,-2.5744,150.7967,Nusa Island Retreat
43,Atuona,PF,77.68,broken clouds,-9.8,-139.0333,Villa Enata
47,Albany,US,76.37,overcast clouds,42.6001,-73.9662,
49,Shubarshi,KZ,85.37,few clouds,48.5872,57.1869,
50,Palmer,US,76.24,overcast clouds,42.1584,-72.3287,Wedgewood Motel
51,San Mateo Del Mar,MX,85.98,broken clouds,16.2,-95.0,
53,Chlorakas,CY,77.88,clear sky,34.8042,32.4083,Elysium Hotel
54,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
55,Sangar,RU,77.04,scattered clouds,63.9242,127.4739,
56,Mahibadhoo,MV,83.12,overcast clouds,3.7833,72.9667,Omadhoo Inn
57,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
58,Nova Olinda Do Norte,BR,80.64,broken clouds,-3.8881,-59.0942,Casa Juazeiro
62,Stony Mountain,CA,87.58,scattered clouds,50.0864,-97.2196,Mountain Motor Inn
67,Ngama,TD,78.44,broken clouds,11.7833,17.1667,
69,Lexington,US,81.72,broken clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
77,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
78,Thompson,CA,75.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
80,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
81,Naze,JP,83.32,overcast clouds,28.3667,129.4833,Shishime Hotel
83,Butaritari,KI,82.36,few clouds,3.0707,172.7902,Isles Sunset Lodge
85,Port Hawkesbury,CA,76.12,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
86,Campoverde,PE,76.69,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
93,Yatou,CN,78.46,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
94,Pak Phanang,TH,80.62,overcast clouds,8.3511,100.202,Green Park Inn Hotel
103,Honiara,SB,87.03,few clouds,-9.4333,159.95,Heritage Park Hotel
108,Xiamen,CN,86.05,few clouds,24.4798,118.0819,Xiamen Dongchen Hotel
120,Newnan,US,87.31,light rain,33.3807,-84.7997,La Quinta Inn & Suites by Wyndham Atlanta South - Newnan
123,Hithadhoo,MV,82.56,overcast clouds,-0.6,73.0833,Scoop Guest House
125,Envira,BR,76.33,broken clouds,-7.3,-70.2167,
127,Port Blair,IN,81.43,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
138,Ewa Beach,US,85.95,overcast clouds,21.3156,-158.0072,Base Lodging
141,Matara,LK,78.8,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
143,Jabinyanah,TN,80.4,clear sky,35.035,10.9081,maison belmabrouk
144,Boyolangu,ID,75.61,overcast clouds,-8.1181,111.8935,Yos ega cv
148,Tarakan,ID,78.3,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
150,Cotonou,BJ,76.98,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
151,Dhidhdhoo,MV,82.13,moderate rain,6.8833,73.1,Dhidhoo beach
153,Bubaque,GW,79.56,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
157,Dingle,PH,75.85,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
165,Qandala,SO,87.48,broken clouds,11.472,49.8728,
166,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
171,Manoharpur,IN,87.35,overcast clouds,27.3,75.95,कैथल हरियाणा होटल
173,Lac Du Bonnet,CA,81.19,scattered clouds,50.2536,-96.0612,Drifter's Inn
176,Bethel,US,75.36,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
177,Sibolga,ID,77.04,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
183,Marrakesh,MA,86.07,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
184,Chenghai,CN,82.31,broken clouds,23.4632,116.768,Guangdong Hotel
185,Kyaikkami,MM,81.48,broken clouds,16.08,97.5675,St. joseph catholic church
188,Cockburn Town,TC,81.82,clear sky,21.4612,-71.1419,Osprey Beach Hotel
189,Mayo,US,82.67,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
199,Waverly,US,84.13,clear sky,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
207,Pacific Grove,US,80.55,clear sky,36.6177,-121.9166,Lovers Point Inn
208,Goderich,CA,75.9,clear sky,43.7501,-81.7165,Harmony Inn
210,Sai Buri,TH,81.97,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
212,Nishihara,JP,87.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
214,Praia,CV,75.42,broken clouds,14.9215,-23.5087,LT Aparthotel
218,Changli,CN,78.55,broken clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
220,Petapa,GT,78.15,broken clouds,14.5028,-90.5517,La Visión del Espíritu Santo
222,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
228,Samarai,PG,80.35,few clouds,-10.6167,150.6667,Nuli Sapi
229,Dieppe,FR,78.98,clear sky,49.75,1.1667,LA LONGERE DES NUITS DE VARENNE
230,Viransehir,TR,84.7,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
235,Buala,SB,85.12,light rain,-8.145,159.5921,Maringe Lagoon Lodge
236,Bardiyah,LY,76.69,clear sky,31.7561,25.0865,بورتو بردية
237,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
239,Kirakira,SB,83.32,few clouds,-10.4544,161.9205,SanBiz Lodge
242,Celestun,MX,87.01,scattered clouds,20.8667,-90.4,Posada Lilia
247,Acajutla,SV,83.05,broken clouds,13.5928,-89.8275,Laureles
250,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
251,Hamilton,US,81.91,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
252,El Bagre,CO,78.24,broken clouds,7.5927,-74.8086,Hotel Real
256,Sur,OM,83.35,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
257,Shiraoi,JP,77.2,few clouds,42.55,141.35,Pirika Rera Hotel
259,Ciudad Bolivar,VE,81.18,overcast clouds,8.1222,-63.5497,Hotel Edi
264,Marzuq,YE,81.63,overcast clouds,14.4,46.4667,
265,Guerrero Negro,MX,78.22,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
270,Hirara,JP,88.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
279,Tura,IN,75.07,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
284,Aripuana,BR,76.91,clear sky,-9.1667,-60.6333,
285,Westport,US,78.08,scattered clouds,41.1415,-73.3579,The Westport Inn
286,Appleton,US,86.07,broken clouds,44.2619,-88.4154,La Quinta Inn & Suites by Wyndham Appleton College Avenue
292,Melendugno,IT,75.29,clear sky,40.2747,18.3368,Alba Bed & Breakfast Melendugno
293,Oussouye,SN,80.69,overcast clouds,12.485,-16.5469,Auberge du Routard
297,Mogadishu,SO,75.42,light rain,2.0371,45.3438,Hotel Juba
298,Itaituba,BR,79.63,broken clouds,-4.2761,-55.9836,Hotel Campos
299,Bang Saphan,TH,79.32,broken clouds,11.2126,99.5117,Ladawan Boutique Hotel
300,Port Keats,AU,75.7,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
308,Nago,JP,88.23,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
309,Bac Lieu,VN,80.17,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
315,Nioro,GM,79.09,overcast clouds,13.35,-15.75,
316,Humaita,BR,79.29,clear sky,-7.5061,-63.0208,Corrêa Hotel
318,Horsham,GB,76.24,few clouds,51.064,-0.3272,Springfields Hotel
322,Nantucket,US,75.34,mist,41.2835,-70.0995,Jared Coffin House
323,Waddan,LY,77.38,clear sky,29.1614,16.139,محل الشريف محمد العايب
327,Fernandina Beach,US,84.29,clear sky,30.6697,-81.4626,Hampton Inn Amelia Island at Fernandina Beach
331,Gonbad-E Qabus,IR,79.75,clear sky,37.25,55.1672,Samin Building
338,La Ronge,CA,84.42,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
339,Santa Catarina De Tepehuanes,MX,80.42,broken clouds,25.35,-105.7333,hotel plaza
342,Ugoofaaru,MV,82.38,overcast clouds,5.6667,73.0,Ungoofaaru Inn
343,Sinnamary,GF,78.8,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
347,San Policarpo,PH,80.47,broken clouds,12.1791,125.5072,Agapita M. Nicart
348,Tautira,PF,76.35,few clouds,-17.7333,-149.15,Pension Oaoa
349,Mao,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
351,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
353,Bengkulu,ID,75.58,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
355,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
358,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
361,Hatta,IN,79.66,overcast clouds,24.1167,79.6,Agrawal Marriage Garden Bharat Tent House
362,Biak,ID,75.11,overcast clouds,-0.9131,122.8766,Penginapan Kim
364,Xiongzhou,CN,83.32,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
370,Muhammadabad,IN,89.24,overcast clouds,25.6333,83.75,SAIF'S HOUSE
371,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
374,Dinhata,IN,80.74,overcast clouds,26.1333,89.4667,Hotel Ganaraj And restrurent
378,Hobyo,SO,75.09,broken clouds,5.3505,48.5268,Iftin hotel hobyo
383,San Matias,BO,75.36,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
385,Hoa Binh,VN,83.77,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
388,Manggar,ID,82.36,broken clouds,-2.8833,108.2667,Guest Hotel
389,Itarema,BR,78.26,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
390,Jalu,LY,81.48,clear sky,29.0331,21.5482,صاحبة الفخامة
391,Sciacca,IT,83.03,clear sky,37.5082,13.0881,Hotel Aliai
393,Port Moresby,PG,80.82,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
395,South Lake Tahoe,US,86.85,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
