City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Grindavik,IS,63.8424,-22.4338,52.27,87,100,4.61,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,26.46,light rain
2,Kavaratti,IN,10.5669,72.642,80.58,82,100,22.24,overcast clouds
3,Bowen,AU,-20.0167,148.2333,66.7,70,0,9.51,clear sky
4,Maceio,BR,-9.6658,-35.7353,75.85,78,1,13.94,clear sky
5,Hami,CN,42.8,93.45,80.35,29,96,3.13,overcast clouds
6,Bredasdorp,ZA,-34.5322,20.0403,53.89,86,100,1.92,overcast clouds
7,Cape Town,ZA,-33.9258,18.4232,55.9,81,8,7.0,clear sky
8,Abong Mbang,CM,3.9833,13.1833,66.72,96,100,3.06,overcast clouds
9,Kangaatsiaq,GL,68.3065,-53.4641,43.77,82,95,3.94,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,37.06,87,75,5.75,light rain
11,Tuktoyaktuk,CA,69.4541,-133.0374,53.01,88,100,7.25,overcast clouds
12,Busselton,AU,-33.65,115.3333,51.01,85,0,8.61,clear sky
13,Khani,GE,41.9563,42.9566,63.97,97,97,0.56,overcast clouds
14,Nikolskoye,RU,59.7035,30.7861,54.88,88,46,4.7,scattered clouds
15,Dinguiraye,GN,11.3,-10.7167,71.28,95,100,3.22,light rain
16,Port Alfred,ZA,-33.5906,26.891,63.14,62,61,7.78,broken clouds
17,Ribeira Grande,PT,38.5167,-28.7,72.64,91,16,3.6,few clouds
18,Berlevag,NO,70.8578,29.0864,59.0,77,100,0.0,overcast clouds
19,Ilo,PE,-17.6394,-71.3375,60.58,81,81,6.93,broken clouds
20,Yar-Sale,RU,66.8333,70.8333,59.41,54,81,7.78,broken clouds
21,Nalut,LY,30.3333,10.85,81.01,24,0,11.56,clear sky
22,Mataura,NZ,-46.1927,168.8643,45.48,94,100,2.1,light rain
23,Torbay,CA,47.6666,-52.7314,65.17,79,75,16.11,broken clouds
24,Muisne,EC,0.6,-80.0333,74.07,88,99,6.4,overcast clouds
25,East London,ZA,-33.0153,27.9116,69.1,35,18,11.7,few clouds
26,Cayenne,GF,4.9333,-52.3333,79.09,1,79,0.0,broken clouds
27,Khatanga,RU,71.9667,102.5,54.01,69,100,9.95,overcast clouds
28,Hilo,US,19.7297,-155.09,91.27,75,100,9.22,overcast clouds
29,Opuwo,NA,-18.0607,13.84,55.09,39,0,2.51,clear sky
30,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,93,37,2.08,scattered clouds
31,Kamenka,RU,51.3223,42.7678,54.37,92,0,11.72,clear sky
32,Senanga,ZM,-16.1167,23.2667,48.49,72,3,5.79,clear sky
33,San Vicente,AR,-26.6167,-54.1333,55.18,99,99,1.77,light rain
34,Victoria,HK,22.2855,114.1577,89.19,84,100,8.99,overcast clouds
35,Tahoua,NE,14.8888,5.2692,77.85,73,18,12.44,light rain
36,Qaanaaq,GL,77.484,-69.3632,44.74,61,0,3.02,clear sky
37,Rikitea,PF,-23.1203,-134.9692,74.59,74,9,11.21,clear sky
38,Hasaki,JP,35.7333,140.8333,86.4,87,100,15.55,overcast clouds
39,Aksarka,RU,66.5606,67.7975,60.15,66,99,5.61,overcast clouds
40,Kez,RU,57.8979,53.7152,60.69,94,95,7.14,overcast clouds
41,Kapaa,US,22.0752,-159.319,85.98,68,100,18.41,overcast clouds
42,Kavieng,PG,-2.5744,150.7967,84.47,69,100,11.56,light rain
43,Atuona,PF,-9.8,-139.0333,77.68,67,68,14.88,broken clouds
44,Geraldton,AU,-28.7667,114.6,52.21,93,37,11.5,scattered clouds
45,Arraial Do Cabo,BR,-22.9661,-42.0278,70.9,88,93,13.15,overcast clouds
46,Hobart,AU,-42.8794,147.3294,47.26,82,75,11.5,broken clouds
47,Albany,US,42.6001,-73.9662,76.37,88,100,4.0,overcast clouds
48,Bluff,NZ,-46.6,168.3333,45.81,72,97,16.17,overcast clouds
49,Shubarshi,KZ,48.5872,57.1869,85.37,26,19,13.91,few clouds
50,Palmer,US,42.1584,-72.3287,76.24,83,100,4.0,overcast clouds
51,San Mateo Del Mar,MX,16.2,-95.0,85.98,70,69,24.56,broken clouds
52,Primero De Marzo,PY,-25.153,-56.928,56.97,98,69,5.93,broken clouds
53,Chlorakas,CY,34.8042,32.4083,77.88,38,0,9.22,clear sky
54,Avarua,CK,-21.2078,-159.775,77.05,65,75,12.66,broken clouds
