City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Owando,CG,2022-07-14 18:31:02,-0.4819,15.8999,83.08,43,96,1.41
1,Rikitea,PF,2022-07-14 18:31:03,-23.1203,-134.9692,66.42,83,100,7.65
2,Paamiut,GL,2022-07-14 18:31:03,61.994,-49.6678,44.08,87,100,5.3
3,Salalah,OM,2022-07-14 18:28:11,17.0151,54.0924,77.79,92,86,5.28
4,Ostrovnoy,RU,2022-07-14 18:31:03,68.0531,39.5131,61.29,91,100,11.52
5,New Norfolk,AU,2022-07-14 18:31:04,-42.7826,147.0587,43.92,90,94,2.33
6,Ushuaia,AR,2022-07-14 18:31:04,-54.8,-68.3,33.46,75,0,2.3
7,Avarua,CK,2022-07-14 18:31:04,-21.2078,-159.775,73.45,64,100,17.27
8,Mataura,NZ,2022-07-14 18:31:05,-46.1927,168.8643,36.48,99,100,3.38
9,Hami,CN,2022-07-14 18:31:05,42.8,93.45,78.55,21,9,7.11
10,Souillac,MU,2022-07-14 18:31:05,-20.5167,57.5167,70.18,78,75,11.5
11,Jamestown,US,2022-07-14 18:26:37,42.097,-79.2353,76.01,51,20,6.91
12,Kapaa,US,2022-07-14 18:31:06,22.0752,-159.319,80.58,86,75,11.5
13,Severo-Yeniseyskiy,RU,2022-07-14 18:31:06,60.3725,93.0408,44.87,76,94,3.09
14,Victoria,HK,2022-07-14 18:29:35,22.2855,114.1577,86.18,79,98,8.99
15,Kavieng,PG,2022-07-14 18:31:06,-2.5744,150.7967,81.39,78,100,16.28
16,Tuktoyaktuk,CA,2022-07-14 18:31:06,69.4541,-133.0374,39.2,87,100,20.71
17,Whitehorse,CA,2022-07-14 18:31:07,60.7161,-135.0538,54.1,86,100,5.75
18,Krechevitsy,RU,2022-07-14 18:31:07,58.617,31.401,59.11,90,100,4.29
19,Barrow,US,2022-07-14 18:31:07,71.2906,-156.7887,33.82,80,100,9.22
20,Mitsamiouli,KM,2022-07-14 18:31:08,-11.3847,43.2844,77.29,65,20,9.22
21,Vestmannaeyjar,IS,2022-07-14 18:31:08,63.4427,-20.2734,52.79,76,20,12.66
22,Arraial Do Cabo,BR,2022-07-14 18:31:08,-22.9661,-42.0278,78.76,78,0,16.11
23,Fortuna,US,2022-07-14 18:31:08,40.5982,-124.1573,58.93,86,100,1.99
24,Aykhal,RU,2022-07-14 18:31:09,66.0,111.5,51.49,72,100,6.91
25,Mount Gambier,AU,2022-07-14 18:31:09,-37.8333,140.7667,44.51,100,40,9.22
26,Butaritari,KI,2022-07-14 18:31:09,3.0707,172.7902,81.68,81,79,16.91
27,Fecamp,FR,2022-07-14 18:31:10,49.7579,0.3746,67.71,65,5,7.11
28,Port Alfred,ZA,2022-07-14 18:31:10,-33.5906,26.891,58.59,77,2,15.59
29,Filimonovo,RU,2022-07-14 18:31:10,56.2011,95.4611,55.99,62,100,2.08
30,Oistins,BB,2022-07-14 18:31:09,13.0667,-59.5333,87.89,70,40,16.11
31,Santa Cruz,BO,2022-07-14 18:31:11,-17.8,-63.1667,80.06,65,75,28.77
32,Boca Do Acre,BR,2022-07-14 18:31:11,-8.7522,-67.3978,91.62,45,33,2.82
33,Rosarito,MX,2022-07-14 18:31:11,32.3333,-117.0333,81.63,72,16,9.17
34,Lagos,NG,2022-07-14 18:27:18,6.5833,3.75,80.92,86,100,6.42
35,Hermanus,ZA,2022-07-14 18:31:12,-34.4187,19.2345,49.8,82,9,1.45
36,Bilma,NE,2022-07-14 18:31:12,18.6853,12.9164,97.0,14,13,7.99
37,Mar Del Plata,AR,2022-07-14 18:28:00,-38.0023,-57.5575,55.09,93,100,13.8
38,Bougouni,ML,2022-07-14 18:31:13,11.417,-7.479,82.18,61,100,2.64
39,Port Elizabeth,ZA,2022-07-14 18:31:13,-33.918,25.5701,57.49,75,0,10.36
40,Kruisfontein,ZA,2022-07-14 18:31:14,-34.0033,24.7314,51.94,89,19,7.92
41,Wilkie,CA,2022-07-14 18:31:14,52.4168,-108.7014,76.89,36,8,6.55
42,San Cristobal,VE,2022-07-14 18:31:14,7.7669,-72.225,84.38,35,52,5.39
43,Asfi,MA,2022-07-14 18:31:15,32.2994,-9.2372,71.51,83,12,13.56
44,Hobart,AU,2022-07-14 18:31:15,-42.8794,147.3294,44.26,97,100,5.75
